object_id,timestamp,x,y,z,distance,type
0,13.6835,2.9913671016693115,2.330400228500366,0.22085751593112946,3.7919707754601717,static
0,13.7835,2.478379653348408,2.284352354602266,0.2748066186904907,3.366511444664144,static
1,13.7835,2.4704296588897705,2.319902181625366,0.2766386866569519,3.3889480420673848,static
2,13.7835,2.4704296588897705,2.319902181625366,0.2766386866569519,3.3889480420673848,dynamic
3,13.7835,2.4733006954193115,2.2838964462280273,0.2748066186904907,3.366511444664144,dynamic
1,13.8835,1.9608653879030908,2.2854775299592487,0.2455272674560547,3.0078369085275183,static
2,13.8835,1.9603818936068418,2.32364454137539,0.24790048599243164,3.0369095368649677,static
1,13.9835,1.485301750574476,2.2796612428734537,0.22035375237464905,2.699433419303173,static
2,13.9835,1.4795816420286838,2.312983410783688,0.2223585695028305,2.7240028224461676,dynamic
4,13.9835,-31.29605484008789,-34.17765426635742,8.171286582946777,46.34172094025478,dynamic
5,13.9835,1.440273404121399,2.3120994567871094,0.2223585695028305,2.7240028224461676,static
1,14.0835,0.9741457625520105,2.2801813899200396,0.2012140452861786,2.4649781565153344,static
2,14.0835,0.9679896960556128,2.3198211633653107,0.20406398177146912,2.499885891171434,dynamic
5,14.0835,0.9350025647001309,2.3203769357378876,0.20406398177146912,2.499885891171434,static
1,14.1835,0.4847667036384461,2.2683890489091194,0.24301867187023163,2.3121443369562056,static
2,14.1835,0.46971470449473457,2.290774374491629,0.24485759437084198,2.329670378745017,static
5,14.1835,0.4741845440490009,2.290854172373918,0.24485759437084198,2.329670378745017,dynamic
1,14.2835,0.017976896500552286,2.2718546281210865,0.23882964253425598,2.272305212648097,dynamic
2,14.2835,0.016719735120971857,2.275030975240755,0.4009667932987213,2.2740044888694717,static
5,14.2835,0.023606980602629724,2.2734945374380944,0.23882964253425598,2.272305212648097,static
1,14.3835,-0.3924576725671386,2.2666774731717854,0.24211730062961578,2.3036261339393866,static
2,14.3835,-0.3926850058314448,2.267498537952468,0.4063464403152466,2.304509103029939,dynamic
5,14.3835,-0.38628228995359004,2.267394694434027,0.4063464403152466,2.304509103029939,static
1,14.4835,-0.7640873601391307,2.2678447192239024,0.42287689447402954,2.3981911790879424,dynamic
2,14.4835,-0.7640858687563604,2.2676882438748747,0.42287689447402954,2.3981911790879424,static
2,14.5835,-1.0772832054587056,2.2592356542894976,0.4419567883014679,2.506450422675202,static
2,14.6835,-1.349252145799282,2.256649367070929,0.46405333280563354,2.63177474005317,static
6,14.6835,-1.353906273841858,2.2568066120147705,0.46405333280563354,2.63177474005317,dynamic
2,14.7835,-1.5951931056233446,2.2571526998276896,0.4876254200935364,2.765462714609074,dynamic
6,14.7835,-1.59487978375921,2.2575415327281116,0.4876254200935364,2.765462714609074,static
2,14.8835,-1.8063175005036214,2.2578844665326927,0.5097988843917847,2.8911882075076822,dynamic
6,14.8835,-1.7894528070018905,2.258207275591204,0.5097988843917847,2.8911882075076822,static
2,14.9835,-1.9686517585895662,2.2556990807482435,0.527359127998352,2.9908110919548196,dynamic
6,14.9835,-1.9520466176037745,2.255988245292836,0.527359127998352,2.9908110919548196,static
2,15.0835,-2.1073554388158797,2.2558669668274516,0.5435998439788818,3.0829086474978338,static
6,15.0835,-2.0922505275350276,2.256128222983749,0.5435998439788818,3.0829086474978338,dynamic
2,15.1835,-2.2518598680214477,2.255724069598317,0.5613845586776733,3.1837689084037715,dynamic
6,15.1835,-2.2382077162035343,2.2559603083694393,0.5613845586776733,3.1837689084037715,static
2,15.2835,-2.407096673817953,2.2564194138332963,0.5812902450561523,3.296662176331252,static
6,15.2835,-2.3947626741711217,2.256633181316358,0.5812902450561523,3.296662176331252,dynamic
2,15.3835,-2.6169796940131373,2.2592580272700715,0.6097891926765442,3.4582861581254667,static
6,15.3835,-2.605840290386131,2.259451695890442,0.6097891926765442,3.4582861581254667,dynamic
2,15.4835,-2.8004698866648123,2.2569935848349365,0.6340217590332031,3.595716576592518,dynamic
6,15.4835,-2.790403813372619,2.2571685330561353,0.6340217590332031,3.595716576592518,static
2,15.5835,-3.0483162824442016,2.256827883261489,0.6693734526634216,3.796209160855697,dynamic
2,15.6835,-3.3319893354657752,2.2584251430714435,0.32904160022735596,4.030921763017032,dynamic
7,15.6835,-3.3386523723602295,2.2587010860443115,0.32904160022735596,4.030921763017032,static
2,15.7835,-3.586718158950237,2.257388463326965,0.7478158473968506,4.241075068969436,dynamic
7,15.7835,-3.5879033615203966,2.257434274156026,0.7478158473968506,4.241075068969436,static
2,15.8835,-3.864737982351975,2.3370092981640176,0.2635119557380676,4.524311436761137,static
7,15.8835,-3.863253936394989,2.2645749974096154,0.26196929812431335,4.497824308631878,dynamic
2,15.9835,-4.26124975289998,2.2645401351547747,0.8526006937026978,4.8353559193121,dynamic
7,15.9835,-4.235482081034436,2.2527778705844232,0.2808387577533722,4.821840404841755,static
8,15.9835,-4.275722503662109,2.258066415786743,0.8526006937026978,4.8353559193121,static
2,16.0835,-4.556690707276553,2.3083866929990124,0.2978552281856537,5.113990423459355,static
8,16.0835,-4.6370282535712875,2.2553104036915927,0.5422964096069336,5.159604721170034,dynamic
2,16.1835,-4.935015389218888,2.3028738181065167,0.3177580237388611,5.455693548029222,static
8,16.1835,-4.943941054355784,2.26179575257741,0.3179951310157776,5.459775827334787,dynamic
9,16.1835,-4.969003677368164,2.262333869934082,0.3179951310157776,5.459775827334787,dynamic
